pedido_data;pedido_documento;pedido_canal;cliente_id;cliente_nome;produto_id;produto_descricao;produto_quantidade;produto_valor_total;produto_valor_custo;subgrupo_id;subgrupo_descricao;vendedor_id;vendedor_nome;moeda_id;moeda_sigla;pedido_tipo
02/12/2025;PED-00100;Varejo;CLI-027;Epsilon Zeta ME;PROD-032;Cerveja Long Neck cx12;7;577,15;294,00;SG-08;Bebidas;VND-005;Pedro Alves;1;R$;VENDAS
02/12/2025;PED-00100;Varejo;CLI-027;Epsilon Zeta ME;PROD-019;Vestido Casual;6;904,80;408,00;SG-05;Vestuario;VND-005;Pedro Alves;1;R$;VENDAS
02/12/2025;PED-00100;Varejo;CLI-027;Epsilon Zeta ME;PROD-032;Cerveja Long Neck cx12;7;648,55;294,00;SG-08;Bebidas;VND-005;Pedro Alves;1;R$;VENDAS
01/05/2026;PED-00101;Atacado;CLI-022;Chi Distribuidora;PROD-011;Cafeteira Eletrica;8;2396,80;1280,00;SG-03;Eletrodomesticos;VND-001;Joao Silva;1;R$;VENDAS
19/09/2025;PED-00102;Varejo;CLI-008;Theta Importacoes;PROD-029;Suco de Laranja 1L;9;137,70;63,00;SG-08;Bebidas;VND-005;Pedro Alves;1;R$;VENDAS
23/03/2026;PED-00103;Atacado;CLI-018;Sigma Logistica;PROD-012;Ventilador Torre;3;85600;46250;SG-03;Eletrodomesticos;VND-002;Maria Oliveira;3;G$;VENDAS
23/03/2026;PED-00103;Atacado;CLI-018;Sigma Logistica;PROD-028;Macarrao Espaguete;3;1980;1000;SG-07;Alimentos;VND-002;Maria Oliveira;3;G$;VENDAS
23/03/2026;PED-00103;Atacado;CLI-018;Sigma Logistica;PROD-024;Bota Couro;6;216300;115000;SG-06;Calcados;VND-002;Maria Oliveira;3;G$;VENDAS
01/05/2026;PED-00104;Varejo;CLI-029;Iota Kappa Ltda;PROD-031;Refrigerante 2L;3;57,78;27,00;SG-08;Bebidas;VND-002;Maria Oliveira;1;R$;VENDAS
01/05/2026;PED-00104;Varejo;CLI-029;Iota Kappa Ltda;PROD-011;Cafeteira Eletrica;8;2172,80;1280,00;SG-03;Eletrodomesticos;VND-002;Maria Oliveira;1;R$;VENDAS
01/05/2026;PED-00104;Varejo;CLI-029;Iota Kappa Ltda;PROD-031;Refrigerante 2L;10;180,00;90,00;SG-08;Bebidas;VND-002;Maria Oliveira;1;R$;VENDAS
01/05/2026;PED-00104;Varejo;CLI-029;Iota Kappa Ltda;PROD-009;Geladeira Frost Free;7;26068,00;17500,00;SG-03;Eletrodomesticos;VND-002;Maria Oliveira;1;R$;VENDAS
04/11/2025;PED-00105;Atacado;CLI-029;Iota Kappa Ltda;PROD-017;Camiseta Polo;7;623,00;294,00;SG-05;Vestuario;VND-004;Ana Costa;1;R$;VENDAS
